数据说明：以下数据为您所选时间周期的相关指标，如需查看其他时间周期的数据，请重新选择后下载,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17
所有终端,LED教室灯,1,-,0.00%,0,0,1,0,0,0.0,-,-,0,-,0,0,-
所有终端,LED植物灯,1,0.00%,0.00%,0,0,1,0,0,0.0,850,850,0,-,0,0,-
所有终端,LED长条教室灯,1,-,0.00%,0,0,1,0,0,0.0,-,-,0,-,0,0,-
所有终端,LED长条车间灯,1,-,0.00%,0,0,1,0,0,0.0,-,-,0,-,0,0,-
所有终端,Led条灯,1,-,0.00%,0,0,1,0,0,0.0,86,86,0,-,0,0,-
所有终端,Led长条灯,1,-,0.00%,0,0,1,0,0,0.0,248,248,0,-,0,0,-
所有终端,led馆灯,1,-,0.00%,0,0,1,0,0,0.0,454,454,9,100.00%,26,155019,1072
所有终端,Куртки,1,-,0.00%,0,0,1,0,0,0.0,19,19,15,0.00%,10,262343,1072
所有终端,Куртки женские,1,-,0.00%,0,0,1,0,0,0.0,16,16,4,0.00%,4,243391,1072
所有终端,三防全光谱护眼吸顶灯,1,-,0.00%,0,0,1,0,0,0.0,298,298,13,33.33%,22,206803,1072
所有终端,低视力望远镜,1,-,0.00%,0,0,1,0,0,0.0,19,19,4,0.00%,7,210907,1072
所有终端,体育场 灯 5000w,1,-,0.00%,0,0,1,0,0,0.0,-,-,3,0.00%,3,260053,1072
所有终端,体育灯,1,-,0.00%,0,0,1,0,0,0.0,11,11,3,100.00%,2,273330,1072
所有终端,光谱吸顶灯,1,0.00%,0.00%,0,0,1,0,0,0.0,449,449,36,75.00%,49,184854,1072
所有终端,全光谱吊灯,1,-,0.00%,0,0,1,0,0,0.0,-,-,38,66.67%,106,141596,1072
所有终端,全光谱护眼儿童灯,1,-,0.00%,0,0,1,0,0,0.0,-,-,9,100.00%,21,163595,1072
所有终端,冰溜灯,1,-,0.00%,0,0,1,0,0,0.0,9,9,3,0.00%,2,284087,1072
所有终端,台灯 护眼,1,-,0.00%,0,0,1,0,0,0.0,-,-,169,60.00%,293,192789,1088
所有终端,台球桌吊灯,1,-,0.00%,0,0,1,0,0,0.0,-,-,8,0.00%,20,166580,1072
所有终端,吸顶灯全光谱,1,-,0.00%,0,0,1,0,0,0.0,323,323,65,78.95%,89,223429,1072
所有终端,学校黑板灯,1,-,0.00%,0,0,1,0,0,0.0,-,-,4,0.00%,5,224494,1072
所有终端,室内室内照明灯,1,-,0.00%,0,0,1,0,0,0.0,56,56,4,0.00%,6,219861,1072
所有终端,室内羽毛球灯,1,-,0.00%,0,0,1,0,0,0.0,6,6,3,0.00%,2,293228,1072
所有终端,小型运动场灯,1,-,0.00%,0,0,1,0,0,0.0,126,126,13,100.00%,36,141596,1072
所有终端,工厂灯,1,0.00%,0.00%,0,0,1,0,0,0.0,54,54,9,50.00%,12,214413,1072
所有终端,工矿灯,1,0.00%,0.00%,0,0,1,0,0,0.0,365,365,295,44.26%,463,202840,1892
所有终端,带罩球形吊灯,1,-,0.00%,0,0,1,0,0,0.0,92,92,6,0.00%,13,183922,1072
所有终端,护眼办公室led灯,1,-,0.00%,0,0,1,0,0,0.0,7,7,6,100.00%,15,178914,1072
所有终端,护眼教室灯,1,-,0.00%,0,0,1,0,0,0.0,44,44,7,100.00%,7,239083,1072
所有终端,教室灯铝材,1,-,0.00%,0,0,1,0,0,0.0,10,10,3,0.00%,2,264841,1072
所有终端,教育灯,1,-80.00%,0.00%,0,0,1,0,0,0.0,44,44,3,100.00%,3,246579,1072
所有终端,游泳馆灯具,1,-,0.00%,0,0,1,0,0,0.0,300,300,8,100.00%,19,167994,1072
所有终端,照明灯,1,0.00%,0.00%,0,0,1,0,0,0.0,208,208,99,35.48%,120,230964,1072
所有终端,照明辅导线,1,-,0.00%,0,0,1,0,0,0.0,47,47,4,0.00%,5,225361,1072
所有终端,猫球专用球,1,-,0.00%,0,0,1,0,0,0.0,245,245,7,0.00%,16,175006,1072
所有终端,球场灯,1,-,0.00%,0,0,1,0,0,0.0,52,52,65,58.82%,98,214859,1072
所有终端,球馆格栅灯,1,-,0.00%,0,0,1,0,0,0.0,5,5,3,0.00%,2,284087,1072
所有终端,白黄光天使眼灯,1,-,0.00%,0,0,1,0,0,0.0,-,-,8,0.00%,13,182483,1072
所有终端,网球场灯,1,-,0.00%,0,0,1,0,0,0.0,5,5,10,100.00%,26,154054,1072
所有终端,美发店无影灯,1,-,0.00%,0,0,1,0,0,0.0,-,-,4,0.00%,7,212814,1072
所有终端,羽毛吊灯,1,-,0.00%,0,0,1,0,0,0.0,43,43,27,75.00%,24,243280,1072
所有终端,羽毛球侧灯,1,-,0.00%,0,0,1,0,0,0.0,53,53,4,100.00%,5,228338,1072
所有终端,蓝牙植物灯,1,-,0.00%,0,0,1,0,0,0.0,-,-,4,0.00%,5,222519,1072
所有终端,蓝球场灯,1,-,0.00%,0,0,1,0,0,0.0,8,8,8,0.00%,22,162018,1072
所有终端,运动场灯,1,-,0.00%,0,0,1,0,0,0.0,17,17,4,100.00%,3,260053,1072
所有终端,长条灯led灯,1,0.00%,0.00%,0,0,1,0,0,0.0,100,100,42,84.62%,52,230056,1072
所有终端,长灯,1,-,0.00%,0,0,1,0,0,0.0,260,260,31,33.33%,61,192022,1072
所有终端,长臂灯,1,-,0.00%,0,0,1,0,0,0.0,-,-,36,62.50%,61,203722,1072
所有终端,防眩球馆节能照明灯,1,-,0.00%,0,0,1,0,0,0.0,-,-,4,0.00%,4,241929,1072
所有终端,防眩篮球馆节能照明灯,1,-,0.00%,0,0,1,0,0,0.0,-,-,3,0.00%,3,255708,1072
所有终端,黑板 灯,1,-,0.00%,0,0,1,0,0,0.0,-,-,8,0.00%,20,165854,1072
所有终端,插座式小夜灯印LOGO,1,-,0.00%,0,0,1,0,0,0.0,8,8,0,-,0,0,1072
所有终端,树枝LED插,1,-,0.00%,0,0,1,0,0,0.0,44,44,0,-,0,0,1072
收藏网址：sycm.1688.com/ms，让数据帮您生意参谋！点此进入,,,,,,,,,,,,,,,,,
终端类型,搜索词,展现次数,展现次数增幅,点击转化率,访客数,浏览量,有展现的商品数,引导下单买家数,引导支付买家数,引导支付金额,最好排名,平均排名,全网搜索指数,全网点击率,全网商品指数,全网供需指数,包月推广价
所有终端,教室灯,10,42.86%,0.00%,0,0,1,0,0,0.0,58,104,87,68.42%,114,213278,1072
所有终端,篮球球馆专用灯,10,-,10.00%,1,1,2,0,0,0.0,2,16,8,100.00%,11,189633,1072
所有终端,教室灯 格栅,8,-,0.00%,0,0,6,0,0,0.0,-,-,16,100.00%,47,131095,1072
所有终端,格栅教室灯,8,-,0.00%,0,0,7,0,0,0.0,-,-,30,100.00%,91,105929,1072
所有终端,球场灯照明灯,7,75.00%,0.00%,0,0,1,0,0,0.0,6,17,27,85.71%,37,219467,1072
所有终端,篮球馆吊灯,7,-,0.00%,0,0,2,0,0,0.0,2,5,4,100.00%,2,280179,1072
所有终端,室内乒乓球灯,6,100.00%,16.67%,1,1,4,0,0,0.0,4,329,11,100.00%,25,155962,1072
所有终端,格栅黑板灯,6,-,0.00%,0,0,5,0,0,0.0,-,-,10,100.00%,26,155019,1072
所有终端,黑板灯 格栅,6,-,0.00%,0,0,5,0,0,0.0,-,-,15,100.00%,40,137420,1072
所有终端,黑板灯格栅,6,-,0.00%,0,0,5,0,0,0.0,-,-,14,100.00%,39,138860,1072
所有终端,led长条灯,5,400.00%,0.00%,0,0,1,0,0,0.0,42,168,385,26.56%,357,243940,1187
所有终端,台球六片灯全亮,5,-,0.00%,0,0,1,0,0,0.0,4,4,5,100.00%,3,255708,1072
所有终端,植物灯,5,66.67%,0.00%,0,0,1,0,0,0.0,-,-,529,53.33%,884,203430,1573
所有终端,羽毛球馆灯,5,-,20.00%,1,1,1,0,0,0.0,6,6,9,100.00%,4,284087,1072
所有终端,乒乓球灯,4,-,0.00%,0,0,2,0,0,0.0,4,78,14,50.00%,31,175587,1072
所有终端,台灯杆,4,-,0.00%,0,0,4,0,0,0.0,-,-,38,100.00%,83,108972,1072
所有终端,吊灯 球馆灯,4,-,0.00%,0,0,3,0,0,0.0,-,-,10,100.00%,25,155962,1072
所有终端,教室护眼灯,4,33.33%,0.00%,0,0,1,0,0,0.0,92,92,32,22.22%,37,229284,1072
所有终端,智能量子灯,4,-,0.00%,0,0,3,0,0,0.0,-,-,15,0.00%,42,134379,1072
所有终端,格栅无影灯,4,-,0.00%,0,0,1,0,0,0.0,8,8,9,50.00%,13,213278,1072
所有终端,防眩目球馆灯,4,100.00%,0.00%,0,0,1,0,0,0.0,12,22,15,33.33%,23,204586,1072
所有终端,led吊灯,3,50.00%,33.33%,1,1,1,0,0,0.0,60,80,38,28.57%,71,192022,1072
所有终端,护眼灯教室,3,50.00%,0.00%,0,0,1,0,0,0.0,10,10,17,33.33%,12,260053,1072
所有终端,格栅灯,3,0.00%,0.00%,0,0,1,0,0,0.0,127,168,91,35.71%,107,231852,1072
所有终端,篮球场吊灯,3,-,0.00%,0,0,1,0,0,0.0,4,4,5,100.00%,2,305023,1072
所有终端,led球馆专用灯,2,-,50.00%,1,1,1,0,0,0.0,4,4,5,100.00%,8,204586,1072
所有终端,хлебница,2,-,0.00%,0,0,1,0,0,0.0,9,9,6,0.00%,12,188384,1072
所有终端,体育场馆的无影灯,2,-,0.00%,0,0,2,0,0,0.0,54,74,5,100.00%,7,212814,1072
所有终端,侧发光,2,-,0.00%,0,0,1,0,0,0.0,-,-,21,66.67%,43,178378,1072
所有终端,吸顶灯全光谱,2,100.00%,0.00%,0,0,1,0,0,0.0,332,334,78,62.50%,94,230513,1072
所有终端,家教台灯阅读灯,2,-,0.00%,0,0,2,0,0,0.0,-,-,14,100.00%,40,137420,1072
所有终端,微晶面板灯,2,-,0.00%,0,0,2,0,0,0.0,-,-,8,0.00%,20,164362,1072
所有终端,植物生长灯,2,-,0.00%,0,0,1,0,0,0.0,-,-,240,25.45%,403,204300,1076
所有终端,直播补光灯 格栅柔光,2,-,0.00%,0,0,1,0,0,0.0,-,-,8,100.00%,20,165115,1072
所有终端,绘本阅读机,2,-,0.00%,0,0,2,0,0,0.0,723,849,15,100.00%,51,127524,1072
所有终端,羽乒乓,2,-,0.00%,0,0,1,0,0,0.0,1,1,4,0.00%,3,251849,1072
所有终端,羽毛球场地灯,2,-,0.00%,0,0,1,0,0,0.0,3,3,7,0.00%,7,236552,1072
所有终端,羽毛球场灯,2,-33.33%,0.00%,0,0,1,0,0,0.0,1,2,7,0.00%,18,170028,1072
所有终端,羽毛球灯,2,0.00%,50.00%,1,1,1,0,0,0.0,-,-,7,50.00%,8,231706,1072
所有终端,蜂窝灯,2,-,0.00%,0,0,1,0,0,0.0,-,-,46,16.67%,112,167293,1072
所有终端,量子灯,2,-33.33%,0.00%,0,0,2,0,0,0.0,-,-,68,58.82%,99,214189,1072
所有终端,长条灯led灯,2,100.00%,0.00%,0,0,1,0,0,0.0,44,63,71,37.50%,65,245857,1072
所有终端,防眩目网球场灯,2,-,0.00%,0,0,2,0,0,0.0,-,-,12,0.00%,32,146575,1072
所有终端,黑板灯,2,-75.00%,0.00%,0,0,1,0,0,0.0,44,44,15,50.00%,22,218260,1072
所有终端,100w灯,1,-,100.00%,1,1,1,0,0,0.0,19,19,4,100.00%,6,217436,1072
所有终端,40w平板燈,1,-,0.00%,0,0,1,0,0,0.0,50,50,4,100.00%,5,228338,1072
所有终端,LED吊灯 ,3,200.00%,0.00%,0,0,2,0,0,0.0,-,-,0,-,0,0,1072
所有终端,铝板柜LED灯,2,-,0.00%,0,0,1,0,0,0.0,126,126,0,-,0,0,1072
所有终端,8颗60W条形灯,1,-,0.00%,0,0,1,0,0,0.0,-,-,0,-,0,0,1072
所有终端,LDE长条灯,1,-,0.00%,0,0,1,0,0,0.0,90,90,0,-,0,0,1072
所有终端,led护眼灯教室,1,-,0.00%,0,0,1,0,0,0.0,-,-,5,0.00%,7,211392,1072
所有终端,led灯 条形,1,-,0.00%,0,0,1,0,0,0.0,-,-,5,0.00%,7,210907,1072
所有终端,led灯条形灯,1,-,0.00%,0,0,1,0,0,0.0,-,-,10,50.00%,18,198122,1072
所有终端,led球馆灯,1,-66.67%,0.00%,0,0,1,0,0,0.0,8,8,4,100.00%,2,293228,1072
所有终端,ps绘画板,1,-,0.00%,0,0,1,0,0,0.0,-,-,18,100.00%,52,125615,1072
所有终端,Грелка для рук Снеговика,1,-,0.00%,0,0,1,0,0,0.0,-,-,3,0.00%,2,293228,1072
所有终端,Куртки,1,0.00%,0.00%,0,0,1,0,0,0.0,20,20,3,0.00%,3,251849,1072
所有终端,ингалятор,1,-,0.00%,0,0,1,0,0,0.0,48,48,6,0.00%,7,241236,1072
所有终端,三基色黑板灯,1,-,0.00%,0,0,1,0,0,0.0,14,14,4,100.00%,3,251849,1072
所有终端,个护电子,1,-,0.00%,0,0,1,0,0,0.0,494,494,9,100.00%,27,154054,1072
所有终端,乒乓球场灯,1,-,0.00%,0,0,1,0,0,0.0,4,4,3,100.00%,2,270291,1072
所有终端,乒乓球学习,1,-,0.00%,0,0,1,0,0,0.0,126,126,6,100.00%,8,202840,1072
所有终端,五面亮光led灯,1,-,0.00%,0,0,1,0,0,0.0,128,128,10,100.00%,21,164362,1072
所有终端,体育照明灯,1,-,0.00%,0,0,1,0,0,0.0,-,-,4,0.00%,7,210907,1072
所有终端,体育馆led灯,1,-,0.00%,0,0,1,0,0,0.0,8,8,3,100.00%,2,267504,1072
所有终端,体育馆灯具,1,-,0.00%,0,0,1,0,0,0.0,-,-,4,0.00%,6,217436,1072
所有终端,体育馆照明,1,-80.00%,0.00%,0,0,1,0,0,0.0,52,52,4,100.00%,5,229440,1072
所有终端,侧发光橱柜灯,1,-,0.00%,0,0,1,0,0,0.0,-,-,4,0.00%,6,218260,1072
所有终端,儿童护眼吸顶灯小海豚,1,-,0.00%,0,0,1,0,0,0.0,243,243,8,100.00%,22,161206,1072
所有终端,全光谱植物生长灯,1,-,0.00%,0,0,1,0,0,0.0,409,409,25,40.00%,42,200392,1072
所有终端,办公室灯,1,-50.00%,0.00%,0,0,1,0,0,0.0,260,260,62,55.56%,82,224494,1072
所有终端,办公灯透镜,1,-,0.00%,0,0,1,0,0,0.0,-,-,36,100.00%,104,99068,1072
所有终端,厨房专用灯,1,-,0.00%,0,0,1,0,0,0.0,180,180,6,0.00%,13,183448,1072
所有终端,厨房吊灯亚克力高显指,1,-,0.00%,0,0,1,0,0,0.0,54,54,4,0.00%,5,227369,1072
所有终端,台灯护眼蜂窝,1,-,0.00%,0,0,1,0,0,0.0,180,180,6,100.00%,12,186213,1072
所有终端,台球六片灯,1,-,0.00%,0,0,1,0,0,0.0,18,18,4,100.00%,6,221590,1072
所有终端,台球灯,1,-66.67%,0.00%,0,0,1,0,0,0.0,98,98,19,83.33%,21,236682,1072
所有终端,吊灯,1,-75.00%,0.00%,0,0,1,0,0,0.0,890,890,2733,47.49%,5002,192789,4583
所有终端,吸顶灯,1,-,0.00%,0,0,1,0,0,0.0,-,-,4740,56.65%,7081,206260,13610
所有终端,场地早照明灯,1,-,0.00%,0,0,1,0,0,0.0,-,-,3,0.00%,3,250010,1072
所有终端,工厂led吊灯,1,-,0.00%,0,0,1,0,0,0.0,50,50,6,100.00%,4,232865,1072
所有终端,工厂灯,1,0.00%,0.00%,0,0,1,0,0,0.0,-,-,21,33.33%,29,223067,1072
所有终端,工矿灯,1,0.00%,0.00%,0,0,1,0,0,0.0,17,17,348,43.48%,584,198454,1892
所有终端,平板灯,1,-,0.00%,0,0,1,0,0,0.0,92,92,322,44.23%,317,240412,1757
所有终端,户外太阳能气泡灯 冰溜,1,-,0.00%,0,0,1,0,0,0.0,-,-,3,0.00%,3,248282,1072
所有终端,护眼教室灯,1,0.00%,0.00%,0,0,1,0,0,0.0,54,54,11,25.00%,9,257234,1072
所有终端,护眼灯条,1,-,0.00%,0,0,1,0,0,0.0,300,300,8,0.00%,19,166580,1072
所有终端,护眼长条灯,1,-,0.00%,0,0,1,0,0,0.0,82,82,5,0.00%,6,217436,1072
所有终端,教育灯,1,0.00%,0.00%,0,0,1,0,0,0.0,-,-,6,50.00%,6,249155,1072
所有终端,教育灯吊杆,1,-,0.00%,0,0,1,0,0,0.0,-,-,4,0.00%,7,211392,1072
所有终端,教育照明灯,1,-,0.00%,0,0,1,0,0,0.0,12,12,8,100.00%,21,162814,1072
所有终端,无影灯,1,-85.71%,0.00%,0,0,1,0,0,0.0,-,-,58,40.00%,80,218464,1072
所有终端,条形灯,1,-,0.00%,0,0,1,0,0,0.0,443,443,47,58.33%,59,221590,1072
所有终端,条形灯无频闪,1,-,0.00%,0,0,1,0,0,0.0,7,7,3,0.00%,3,260053,1072
所有终端,植物生长灯光源,1,-,0.00%,0,0,1,0,0,0.0,-,-,32,100.00%,97,102642,1072
所有终端,植物种植长条灯,1,-,0.00%,0,0,1,0,0,0.0,-,-,10,0.00%,26,154054,1072
所有终端,LED吊灯,1,0.00%,0.00%,0,0,1,0,0,0.0,450,450,0,-,0,0,1072
所有终端,LED长条灯面板,1,-,0.00%,0,0,1,0,0,0.0,42,42,0,-,0,0,1072
所有终端,RLEHB0012,1,-,0.00%,0,0,1,0,0,0.0,-,-,0,-,0,0,1072
所有终端,W205,1,-,0.00%,0,0,1,0,0,0.0,573,573,0,-,0,0,1072
所有终端,灯家用灯插座,1,-,0.00%,0,0,1,0,0,0.0,12,12,3,0.00%,3,260053,1072
所有终端,灯长条,1,-,0.00%,0,0,1,0,0,0.0,51,51,4,0.00%,5,229440,1072
所有终端,照明,1,-,0.00%,0,0,1,0,0,0.0,-,-,103,26.92%,168,210168,1072
所有终端,熏台灯,1,-,0.00%,0,0,1,0,0,0.0,43,43,4,0.00%,4,233992,1072
所有终端,球场灯,1,0.00%,0.00%,0,0,1,0,0,0.0,248,248,60,28.57%,91,210168,1072
所有终端,球场照明灯,1,-,0.00%,0,0,1,0,0,0.0,-,-,8,0.00%,17,173209,1072
所有终端,球馆照明,1,-,0.00%,0,0,1,0,0,0.0,6,6,3,0.00%,2,262343,1072
所有终端,生鲜吊灯外壳,1,-,0.00%,0,0,1,0,0,0.0,-,-,8,100.00%,20,166580,1072
所有终端,羽毛台灯,1,-,0.00%,0,0,1,0,0,0.0,-,-,101,40.00%,269,152053,1072
所有终端,羽毛球专用灯,1,-,0.00%,0,0,1,0,0,0.0,-,-,3,0.00%,2,262343,1072
所有终端,羽毛球馆专用灯,1,-87.50%,0.00%,0,0,1,0,0,0.0,10,10,6,50.00%,4,263577,1072
所有终端,蜂巢灯,1,-,0.00%,0,0,1,0,0,0.0,-,-,20,0.00%,38,195719,1072
所有终端,触摸超薄吸顶灯,1,-,0.00%,0,0,1,0,0,0.0,-,-,10,0.00%,28,152053,1072
所有终端,负离子led灯,1,-,0.00%,0,0,1,0,0,0.0,173,173,6,100.00%,13,182968,1072
所有终端,负离子灯,1,-,0.00%,0,0,1,0,0,0.0,170,170,9,100.00%,24,158668,1072
所有终端,金属调色盘,1,-,0.00%,0,0,1,0,0,0.0,568,568,14,0.00%,46,132770,1072
所有终端,长条吊灯,1,-,0.00%,0,0,1,0,0,0.0,-,-,204,66.67%,264,160377,1072
所有终端,长臂护眼台灯,1,-,0.00%,0,0,1,0,0,0.0,772,772,16,100.00%,49,129349,1072
所有终端,防潮长条灯,1,-,0.00%,0,0,1,0,0,0.0,292,292,8,100.00%,17,171966,1072
所有终端,隧道灯,1,-,0.00%,0,0,1,0,0,0.0,-,-,59,29.41%,80,223429,1072
所有终端,集成吊顶灯,1,-,0.00%,0,0,1,0,0,0.0,86,86,88,56.52%,120,219068,1121
所有终端,黑板灯护眼灯 防眩,1,-,0.00%,0,0,1,0,0,0.0,10,10,3,100.00%,2,264841,1072
收藏网址：sycm.1688.com/ms，让数据帮您生意参谋！点此进入,,,,,,,,,,,,,,,,,
终端类型,搜索词,展现次数,展现次数增幅,点击转化率,访客数,浏览量,有展现的商品数,引导下单买家数,引导支付买家数,引导支付金额,最好排名,平均排名,全网搜索指数,全网点击率,全网商品指数,全网供需指数,包月推广价
所有终端,教室灯,16,60.00%,12.50%,1,2,2,0,0,0.0,50,76,112,54.55%,187,198783,1072
所有终端,羽毛球灯,13,550.00%,0.00%,0,0,2,0,0,0.0,2,4,13,100.00%,18,197450,1072
所有终端,球场灯照明灯,10,42.86%,10.00%,1,1,1,0,0,0.0,10,16,25,83.33%,31,219861,1072
所有终端,篮球馆灯,10,-,10.00%,1,1,2,0,0,0.0,4,4,4,100.00%,2,288399,1072
所有终端,篮球球馆专用灯,9,-10.00%,11.11%,1,1,2,0,0,0.0,2,4,7,100.00%,7,208130,1072
所有终端,植物灯,8,60.00%,0.00%,0,0,1,0,0,0.0,290,559,509,50.89%,837,203137,1573
所有终端,黑板灯,7,250.00%,0.00%,0,0,2,0,0,0.0,11,11,32,66.67%,51,199110,1072
所有终端,led灯管,6,-,0.00%,0,0,1,0,0,0.0,50,59,358,33.33%,562,212109,1786
所有终端,室内球场灯照明灯,6,-,33.33%,1,2,1,0,0,0.0,4,5,10,50.00%,15,205431,1072
所有终端,工厂灯,6,500.00%,0.00%,0,0,1,0,0,0.0,10,24,30,33.33%,38,228338,1072
所有终端,植物生长灯,6,200.00%,0.00%,0,0,1,0,0,0.0,205,316,321,45.90%,602,192022,1076
所有终端,led长条吊灯,5,-,0.00%,0,0,1,0,0,0.0,55,140,55,37.50%,132,171966,1072
所有终端,室内羽毛球馆的灯,5,-,60.00%,1,3,2,0,0,0.0,2,12,4,100.00%,4,241929,1072
所有终端,羽毛球馆灯,5,0.00%,0.00%,0,0,2,0,0,0.0,6,7,11,50.00%,7,271030,1072
所有终端,全光谱吸顶灯,4,-,0.00%,0,0,1,0,0,0.0,332,414,197,64.81%,253,222885,1072
所有终端,吊灯,4,300.00%,0.00%,0,0,1,0,0,0.0,56,84,2097,46.41%,3897,192789,4583
